Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2017-03-09,910.0,920.0,900.5,902.75,906.9,803.0,159.0,728242.0,402.0,50.06,19.5,-7.25
2017-03-08,901.0,917.15,898.0,909.3,908.96,548.0,38.0,498111.0,380.0,69.34,19.15,8.3
2017-03-07,890.0,939.4,890.0,909.05,912.66,10685.0,1251.0,9751780.0,1996.0,18.68,49.4,19.05
2017-03-06,873.95,878.9,867.8,869.95,874.2,1370.0,36.0,1197652.0,110.0,8.03,11.1,-4.0
2017-03-03,857.25,870.9,855.6,866.35,863.22,1566.0,16.0,1351804.0,243.0,15.52,15.3,9.1
2017-03-02,862.0,875.0,860.0,865.2,868.22,2338.0,151.0,2029894.0,1775.0,75.92,15.0,3.2
2017-03-01,869.0,869.0,850.0,859.55,863.18,962.0,88.0,830376.0,863.0,89.71,19.0,-9.45
2017-02-28,857.0,870.0,850.05,855.5,862.36,1112.0,80.0,958946.0,938.0,84.35,19.95,-1.5
2017-02-27,864.7,864.8,855.0,856.9,860.0,85464.0,41.0,73498731.0,85386.0,99.91,9.8,-7.8
2017-02-23,855.05,864.5,855.0,861.1,856.07,71196.0,30.0,60948701.0,71151.0,99.94,9.5,6.05
2017-02-22,860.0,870.0,855.05,861.95,861.64,154.0,45.0,132692.0,45.0,29.22,14.95,1.95
2017-02-21,865.1,875.0,854.0,864.45,861.36,288.0,83.0,248073.0,247.0,85.76,21.0,-0.65
