Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2017-09-22,677.05,679.8,660.0,675.6,675.46,1990.0,122.0,1344162.0,1352.0,67.94,19.8,-1.45
2017-09-21,684.0,695.35,673.55,684.05,686.5,6879.0,284.0,4722452.0,4005.0,58.22,21.8,0.05
2017-09-20,675.0,692.0,675.0,684.45,687.49,7987.0,443.0,5490990.0,3800.0,47.58,17.0,9.45
2017-09-19,682.2,687.2,676.05,680.7,682.09,1299.0,114.0,886030.0,822.0,63.28,11.15,-1.5
2017-09-18,687.0,689.0,678.0,686.9,685.09,2459.0,165.0,1684629.0,1498.0,60.92,11.0,-0.1
2017-09-15,677.0,686.4,672.25,681.9,678.76,1468.0,125.0,996425.0,777.0,52.93,14.15,4.9
2017-09-14,673.0,681.0,673.0,676.2,677.49,1849.0,92.0,1252677.0,1260.0,68.14,8.0,3.2
2017-09-13,682.35,682.35,669.0,674.9,676.88,1566.0,94.0,1059988.0,1126.0,71.9,13.35,-7.45
2017-09-12,680.0,682.0,674.5,679.15,677.18,2298.0,164.0,1556170.0,1288.0,56.05,7.5,-0.85
2017-09-11,680.05,686.7,675.0,678.0,678.98,1452.0,104.0,985872.0,918.0,63.22,11.7,-2.05
2017-09-08,677.0,689.8,675.0,678.8,679.3,4034.0,215.0,2740304.0,2747.0,68.1,14.8,1.8
2017-09-07,694.8,694.8,678.0,684.05,682.87,840.0,73.0,573607.0,474.0,56.43,16.8,-10.75
2017-09-06,675.0,688.0,675.0,681.65,680.89,2556.0,192.0,1740364.0,748.0,29.26,13.0,6.65
2017-09-05,680.0,680.0,671.0,677.0,675.76,4220.0,292.0,2851691.0,1198.0,28.39,9.0,-3.0
2017-09-04,705.0,705.0,671.1,675.1,675.28,120970.0,356.0,81688880.0,118150.0,97.67,33.9,-29.9
2017-09-01,695.0,695.0,679.0,682.45,685.38,4837.0,291.0,3315185.0,2629.0,54.35,16.0,-12.55
2017-08-31,701.0,703.85,685.0,686.65,688.8,9711.0,505.0,6688907.0,5711.0,58.81,18.85,-14.35
2017-08-30,684.0,703.45,681.9,697.95,695.27,26483.0,1416.0,18412802.0,9293.0,35.09,21.55,13.95
2017-08-29,683.0,692.0,674.0,680.45,681.96,156283.0,2468.0,106578877.0,113418.0,72.57,18.0,-2.55
2017-08-28,695.0,708.0,670.0,672.55,672.7,6052661.0,5998.0,4071599045.0,5003110.0,82.66,38.0,-22.45
2017-08-24,707.2,712.0,699.85,703.4,706.72,1052.0,146.0,743466.0,509.0,48.38,12.15,-3.8
2017-08-23,711.9,715.25,703.2,706.4,708.84,987.0,85.0,699626.0,509.0,51.57,12.05,-5.5
2017-08-22,700.55,710.9,700.25,705.75,707.8,2645.0,49.0,1872121.0,297.0,11.23,10.65,5.2
2017-08-21,710.0,712.9,703.2,705.75,707.4,310.0,52.0,219295.0,197.0,63.55,9.7,-4.25
2017-08-18,709.25,710.0,704.35,706.75,707.36,442.0,34.0,312651.0,263.0,59.5,5.65,-2.5
2017-08-17,710.0,716.4,704.15,705.85,708.45,1922.0,175.0,1361650.0,1086.0,56.5,12.25,-4.15
2017-08-16,707.2,714.85,703.5,711.3,708.23,5301.0,89.0,3754302.0,844.0,15.92,11.35,4.1
2017-08-14,721.0,722.0,705.15,707.2,714.17,4762.0,187.0,3400857.0,3665.0,76.96,16.85,-13.8
2017-08-11,682.05,715.9,680.1,695.5,692.02,1123.0,113.0,777141.0,526.0,46.84,35.8,13.45
2017-08-10,699.0,710.0,680.4,700.9,694.85,2500.0,206.0,1737114.0,1263.0,50.52,29.6,1.9
2017-08-09,717.35,719.0,700.0,706.9,708.29,1375.0,125.0,973895.0,680.0,49.45,19.0,-10.45
2017-08-08,711.0,720.05,706.05,712.1,710.81,863.0,109.0,613426.0,297.0,34.41,14.0,1.1
